step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.910455712699033,0,0.0,0.9773402548509816,0,0.0,0.9774826648604142,0,0.0,1.0,0,0.0,1.0,0,0.0,0.97984488324539,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9799682054774762,0,0.0,0.9793535625598159,0,0.0,0.9771558774703614,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9800713550198055,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.353089058965068,0,0.0,0.9262996095417251,0,0.0,0.9491040903651193,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9505757780960811,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9520432165720846,0,0.0,0.9495156434381589,0,0.0,0.9207675334618038,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9524728587648593,0,0.0,1.0,0,0.0
15.0,2,2.0,0.05,12.040204747542921,1,1.0,0.7657168431352434,0,0.0,0.9013937713479475,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9352777104193487,0,0.0,0.9752887620049162,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9339556820046648,1,1.0,0.6541931258663061,0,0.0,0.9392214748264405,0,0.0,0.8595860446397361,0,0.0,0.9880288789787062,0,0.0,1.0,0,0.0,0.9330071874902486,0,0.0,0.97538742823704,2,2.0
20.0,5,19.0,0.3392857142857143,11.909855769099968,3,10.0,0.6870153156976166,0,0.0,0.9570512787691056,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9462594974462636,0,0.0,0.9595264477069866,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9426286571012412,2,9.0,0.4956985113440989,0,0.0,0.9448185534668578,0,0.0,0.9597259855630679,0,0.0,0.9674197057022242,0,0.0,1.0,0,0.0,0.9617744904164318,0,0.0,0.9739026012770724,5,19.0
25.0,1,1.0,0.013888888888888888,10.285204225734176,0,4.0,0.7281168002285767,0,0.0,0.8119210725932706,0,0.0,1.0,0,0.0,1.0,0,0.0,0.774121730605486,0,0.0,0.9624052860852765,0,0.0,0.9992701809255071,0,0.0,1.0,0,0.0,0.9732564904432994,0,5.0,0.5622325987422264,1,1.0,0.7640495385339268,0,0.0,0.8638424083375835,0,0.0,0.6205706352754923,0,4.0,0.44324769186608637,0,0.0,0.7818171624931953,0,0.0,0.6071374639352832,1,14.0
30.0,13,42.0,0.525,9.33794050104134,1,4.0,0.6664560601824359,2,6.0,0.6434393477754242,0,2.0,0.3867364866927649,0,0.0,1.0,2,6.0,0.5457405856680679,0,0.0,1.0,0,0.0,0.9640908771440562,0,0.0,1.0,0,0.0,0.9383209123153612,0,0.0,0.8704988823623718,3,14.0,0.6443389385240577,1,4.0,0.5796497270484671,2,8.0,0.4375655757810921,0,4.0,0.8341230517525734,2,4.0,0.536742575790221,0,0.0,0.8055195934237641,13,52.0
35.0,10,51.0,0.53125,9.365645642540068,2,6.0,0.6187362478566326,0,2.0,0.6995227771230574,0,6.0,0.7314919270508486,0,0.0,1.0,0,1.0,0.5927588263096674,0,4.0,0.46958723048779727,0,0.0,0.9813965237240798,0,0.0,0.9776722210192157,0,4.0,0.7139117988048136,0,0.0,0.7653810027314264,5,34.0,0.5681285340790612,3,17.0,0.24843048196618958,0,3.0,0.6120164908675991,0,4.0,0.8624115600428802,0,1.0,0.7115855742720595,0,4.0,0.7414849494810827,10,86.0
40.0,11,58.0,0.5178571428571429,10.022526818671805,2,14.0,0.666924249617583,2,9.0,0.701447479027687,0,4.0,0.8515874170279826,0,0.0,0.6609355640532559,0,0.0,0.9353329512892532,0,5.0,0.8225664190344518,0,0.0,0.9665692258080587,0,0.0,0.9582215960632808,0,4.0,0.8661273764616468,2,5.0,0.6342357968903987,2,29.0,0.3789153539522849,3,32.0,0.23099976710963857,0,0.0,0.9570181359072946,0,0.0,0.5918579571056565,0,0.0,0.9102626534497463,0,4.0,0.9438039764743031,11,106.0
45.0,9,29.0,0.24166666666666667,9.298286465827482,0,5.0,0.5776393627659876,0,7.0,0.7616393150682709,1,6.0,0.5817608972086444,0,0.0,0.9143210735503657,1,3.0,0.6041438120168736,0,5.0,0.9401008053914995,0,0.0,1.0,0,0.0,0.7140956746020821,1,6.0,0.6713398354437127,0,1.0,0.6124150140739902,6,28.0,0.340527849166088,0,17.0,0.7047384823502172,0,4.0,0.3846069707413409,0,4.0,0.4448219856897817,0,0.0,0.8595049218701916,0,4.0,0.8967446181257117,9,90.0
50.0,19,53.0,0.3897058823529412,8.181854962395118,2,8.0,0.6204440695013118,2,8.0,0.4462288721671313,1,7.0,0.1539261796212315,0,3.0,0.7490240469227324,3,14.0,0.453547520531965,0,1.0,0.8272887601668194,0,0.0,0.9632161439892023,2,5.0,0.3809992503074348,0,2.0,0.6478236181490852,0,0.0,0.9443111892737984,3,34.0,0.4725402889865107,0,8.0,0.8576914856590239,3,14.0,0.4419464079169906,0,4.0,0.8953142306472699,1,7.0,0.5104583546720124,2,8.0,0.3229550816989357,19,123.0
