step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,37,293.0,1.9276315789473684,8.420380262288143,0,6.0,0.672196453259266,6,33.0,0.44676575232086535,3,20.0,2.4141552288854164e-05,0,2.0,0.286082678621136,0,0.0,0.9793876454347593,0,6.0,0.9218523052138078,7,38.0,0.4253271299231953,0,0.0,0.9374541248035062,0,0.0,0.8204812480605685,0,0.0,0.8164800521193329,5,32.0,0.5594324449777316,10,143.0,0.30586262771339984,0,4.0,0.9145472454740862,0,4.0,0.8629075979914457,6,137.0,0.46728130803474743,0,4.0,0.7178337237628759,37,429.0
60.0,36,370.0,2.3125,7.526554355184322,3,8.0,0.6040746933968744,6,63.0,0.5299099414362234,3,37.0,0.5851392070102197,1,9.0,0.7370001573819233,0,0.0,0.9547518484174424,1,5.0,0.6181287198095734,7,73.0,0.3829076994077199,0,0.0,0.46685964097474386,1,3.0,0.5437589952433446,2,6.0,0.661631495772719,1,23.0,0.34377282970313006,10,197.0,0.3929261116384788,0,0.0,0.817234335820074,0,0.0,0.7795020706294081,1,63.0,0.3566513437136202,0,4.0,0.9102077996410362,36,491.0
65.0,43,522.0,2.965909090909091,7.39199103370118,0,7.0,0.5691590945195321,6,93.0,0.5658189535758806,3,52.0,0.6465367729055977,0,4.0,0.8917199157585086,0,2.0,0.7748684864528225,6,23.0,0.3438512177139535,7,108.0,0.12379389437860837,0,3.0,0.3392862002072259,0,2.0,0.6976498350564987,0,4.0,0.6574525186891065,5,26.0,0.3904771802604377,10,244.0,0.4788114016496,1,2.0,0.26248729722100134,1,5.0,0.278240597223331,4,57.0,0.27401814503203503,0,4.0,0.915232957237922,43,636.0
70.0,48,685.0,3.624338624338624,7.9008925035728454,2,8.0,0.7014503395432464,10,132.0,0.30672416449079576,3,65.0,0.6327019938605631,0,0.0,0.8365175469795761,0,2.0,0.8969228480111934,3,32.0,0.25891590273197157,7,147.0,0.37611778255568734,0,2.0,0.9153711413131878,0,0.0,0.9609803187446218,3,7.0,0.5103775593061226,0,26.0,0.5955115314614435,11,295.0,0.3941948468371592,1,8.0,0.7608783462267004,1,10.0,0.780368866697734,7,85.0,0.30021470215416907,0,0.0,0.9389913180463232,48,819.0
75.0,67,946.0,5.005291005291006,7.245872020213987,3,22.0,0.5723220478731437,13,190.0,0.17636780967287344,3,82.0,0.4594384069612546,0,0.0,1.0,1,3.0,0.8251933660432731,2,19.0,0.44255838101432743,7,182.0,0.5720925143593579,0,2.0,0.9033206236274167,1,1.0,0.6226501492093097,4,27.0,0.4137501868606553,3,13.0,0.6919268154331253,16,363.0,0.19596331394751754,0,3.0,0.932759238087589,0,3.0,0.9286231312458971,12,136.0,0.3239312090487318,2,2.0,0.5695673932512436,67,1048.0
80.0,77,1151.0,5.78391959798995,6.887922121215616,6,46.0,0.47116076081835934,8,186.0,0.2594372905820465,5,101.0,0.456934926385465,0,2.0,0.9567762850378174,2,9.0,0.5653837967451174,2,17.0,0.7020424528562399,7,217.0,0.5429326370334211,1,3.0,0.5705628325414754,3,15.0,0.5243295954916551,4,47.0,0.4716872940692402,5,29.0,0.5498028291130612,18,451.0,0.09375018340372118,0,0.0,0.9469315825633542,0,0.0,0.9329375027125484,13,200.0,0.4147133642666303,3,17.0,0.5304772090174608,77,1340.0
85.0,79,1360.0,6.325581395348837,6.418074225203276,7,81.0,0.47316860534464034,2,78.0,0.46153901841701617,7,131.0,0.4634619829694578,0,2.0,0.9358216330345083,4,27.0,0.5298844487452471,1,2.0,0.683792056433896,11,264.0,0.16173587049002294,5,17.0,0.04751307750309883,0,9.0,0.7075484557505233,1,29.0,0.5104089885756676,5,51.0,0.4984843362485147,18,541.0,0.050222398723515124,0,2.0,0.4143245467294672,0,0.0,0.8986231830834733,15,269.0,0.3881112124114737,3,32.0,0.5242002281582603,79,1535.0
90.0,91,1763.0,8.050228310502282,6.0736814219058095,10,125.0,0.32379209775480644,1,61.0,0.3498723756262509,7,164.0,0.20137982515691982,0,0.0,0.8872251474650487,6,54.0,0.5072639362034382,1,5.0,0.6346229316061095,15,332.0,0.1364216277788626,2,28.0,0.2071457073497013,0,4.0,0.8893615922045881,3,13.0,0.38375203038502204,8,86.0,0.375131909574389,18,635.0,0.048765410006076246,0,4.0,0.8705259423937844,0,0.0,0.892763306859616,17,352.0,0.2887351841142746,3,47.0,0.5164428842614628,91,1910.0
95.0,89,1632.0,7.221238938053097,6.134072393998799,5,113.0,0.40701596656862304,5,84.0,0.42537912383280163,7,203.0,0.10728215494423021,0,0.0,0.827558917450318,2,45.0,0.5176983075087569,1,14.0,0.5762859103337874,19,425.0,0.2556404093639543,0,9.0,0.8283010445035718,1,3.0,0.6902331797515111,5,36.0,0.4980262000970155,10,133.0,0.33191986160399933,12,584.0,0.2696172060591118,0,8.0,0.7889202846151924,0,0.0,1.0,19,444.0,0.23828285434962793,3,22.0,0.20644909799622435,89,2123.0
100.0,75,1463.0,6.278969957081545,6.753899135475409,2,36.0,0.5362843508292755,5,109.0,0.616726750944024,7,238.0,0.4206517596720042,0,0.0,0.9012818212280568,4,19.0,0.5132964305776371,1,19.0,0.7501787366696504,19,520.0,0.1941513336774436,0,0.0,0.8792730428359226,3,14.0,0.45401218660687426,0,25.0,0.6500278037695094,6,127.0,0.29456415784738815,2,396.0,0.45816386131302345,0,4.0,0.8727306739109238,0,4.0,0.41952640657912255,21,545.0,0.18028993227933732,5,24.0,0.0002462890407081596,75,2080.0
